est,learning_rate,max_depth,quality
1,0.001,1,0.5493438108581584
1,0.001,2,0.5493426356039589
1,0.001,3,0.5493415925151466
1,0.001,4,0.5493388905120894
1,0.001,5,0.5493390291433515
1,0.001,6,0.5493352147661302
1,0.001,7,0.5493324130423819
1,0.001,8,0.5493297860270041
1,0.001,9,0.5493290818311185
1,0.001,10,0.5493248786924612
1,0.001,15,0.5493303661213509
1,0.001,20,0.5493195592935125
1,0.001,25,0.5493255721424394
1,0.001,30,0.549328722097745
1,0.001,35,0.5493162821464072
1,0.001,40,0.5493211918073088
1,0.001,45,0.5493185295260427
1,0.001,50,0.5493151856072527
1,0.001,60,0.5493154371003821
1,0.001,70,0.5493154371003821
1,0.001,80,0.5493154371003821
1,0.001,90,0.5493154371003821
1,0.001,100,0.5493154371003821
1,0.001,110,0.5493154371003821
1,0.001,120,0.5493154371003821
1,0.001,130,0.5493154371003821
1,0.001,140,0.5493154371003821
2,0.001,1,0.5492283987757731
2,0.001,2,0.5492260494424908
2,0.001,3,0.5492243513379433
2,0.001,4,0.5492189175367891
2,0.001,5,0.5492168572803173
2,0.001,6,0.5492109789754862
2,0.001,7,0.5492090348304841
2,0.001,8,0.5492005845510932
2,0.001,9,0.5492001633671509
2,0.001,10,0.5491927193959184
2,0.001,15,0.5492012869861475
2,0.001,20,0.549186680127712
2,0.001,25,0.5491901985103192
2,0.001,30,0.5491966112685293
2,0.001,35,0.5491793495324044
2,0.001,40,0.5491841004517838
2,0.001,45,0.5491819617530441
2,0.001,50,0.5491719932105231
2,0.001,60,0.5491705074089345
2,0.001,70,0.5491705074089345
2,0.001,80,0.5491705074089345
2,0.001,90,0.5491705074089345
2,0.001,100,0.5491705074089345
2,0.001,110,0.5491705074089345
2,0.001,120,0.5491705074089345
2,0.001,130,0.5491705074089345
2,0.001,140,0.5491705074089345
3,0.001,1,0.5491131021054372
3,0.001,2,0.5491095798672044
3,0.001,3,0.5491068407099988
3,0.001,4,0.5490997446245112
3,0.001,5,0.5490959545188059
3,0.001,6,0.5490872970754463
3,0.001,7,0.5490871805215034
3,0.001,8,0.5490763630507404
3,0.001,9,0.5490703979715693
3,0.001,10,0.5490625674447182
3,0.001,15,0.5490705500936043
3,0.001,20,0.5490481889424371
3,0.001,25,0.549055916233991
3,0.001,30,0.5490633326595599
3,0.001,35,0.549041924566516
3,0.001,40,0.5490484248872067
3,0.001,45,0.5490433011749055
3,0.001,50,0.5490314046255702
3,0.001,60,0.5490286101959841
3,0.001,70,0.5490286101959841
3,0.001,80,0.5490286101959841
3,0.001,90,0.5490286101959841
3,0.001,100,0.5490286101959841
3,0.001,110,0.5490286101959841
3,0.001,120,0.5490286101959841
3,0.001,130,0.5490286101959841
3,0.001,140,0.5490286101959841
4,0.001,1,0.548997920731695
4,0.001,2,0.5489932267614994
4,0.001,3,0.5489898338589959
4,0.001,4,0.5489795463960839
4,0.001,5,0.5489738572602842
4,0.001,6,0.548966127827585
4,0.001,7,0.5489599030843447
4,0.001,8,0.5489459426466418
4,0.001,9,0.5489423268992317
4,0.001,10,0.5489314233686001
4,0.001,15,0.5489397243871108
4,0.001,20,0.5489119940205267
4,0.001,25,0.5489227453298221
4,0.001,30,0.5489245662777185
4,0.001,35,0.5489032248205717
4,0.001,40,0.5489101203777588
4,0.001,45,0.5489115115680249
4,0.001,50,0.5489008409976668
4,0.001,60,0.5489018419281687
4,0.001,70,0.5489018419281687
4,0.001,80,0.5489018419281687
4,0.001,90,0.5489018419281687
4,0.001,100,0.5489018419281687
4,0.001,110,0.5489018419281687
4,0.001,120,0.5489018419281687
4,0.001,130,0.5489018419281687
4,0.001,140,0.5489018419281687
5,0.001,1,0.5488828545394074
5,0.001,2,0.5488769900088784
5,0.001,3,0.5488729277857559
5,0.001,4,0.5488575242943319
5,0.001,5,0.5488517502652779
5,0.001,6,0.548845405452383
5,0.001,7,0.5488350985927726
5,0.001,8,0.5488206851458503
5,0.001,9,0.5488100796096439
5,0.001,10,0.5488018222779587
5,0.001,15,0.5488037567068874
5,0.001,20,0.5487778331279156
5,0.001,25,0.5487894540704424
5,0.001,30,0.548792995821652
5,0.001,35,0.5487611185642991
5,0.001,40,0.5487684102225991
5,0.001,45,0.5487732591998945
5,0.001,50,0.5487645434734769
5,0.001,60,0.5487647024161099
5,0.001,70,0.5487647024161099
5,0.001,80,0.5487647024161099
5,0.001,90,0.5487647024161099
5,0.001,100,0.5487647024161099
5,0.001,110,0.5487647024161099
5,0.001,120,0.5487647024161099
5,0.001,130,0.5487647024161099
5,0.001,140,0.5487647024161099
6,0.001,1,0.5487679034132544
6,0.001,2,0.5487608694930637
6,0.001,3,0.548756154792588
6,0.001,4,0.5487374563258812
6,0.001,5,0.5487295324335857
6,0.001,6,0.5487250773102571
6,0.001,7,0.5487103032541902
6,0.001,8,0.5486942043231805
6,0.001,9,0.548684277666851
6,0.001,10,0.5486736226705501
6,0.001,15,0.5486766220314637
6,0.001,20,0.5486423439619398
6,0.001,25,0.548656571373179
6,0.001,30,0.5486560619285471
6,0.001,35,0.5486225993153163
6,0.001,40,0.5486328153238103
6,0.001,45,0.5486375926225382
6,0.001,50,0.5486285361420836
6,0.001,60,0.5486278222829758
6,0.001,70,0.5486278222829758
6,0.001,80,0.5486278222829758
6,0.001,90,0.5486278222829758
6,0.001,100,0.5486278222829758
6,0.001,110,0.5486278222829758
6,0.001,120,0.5486278222829758
6,0.001,130,0.5486278222829758
6,0.001,140,0.5486278222829758
7,0.001,1,0.5486530672382616
7,0.001,2,0.5486448650977247
7,0.001,3,0.5486391134048852
7,0.001,4,0.5486187591221374
7,0.001,5,0.5486098796798191
7,0.001,6,0.5486026243800167
7,0.001,7,0.5485830624163743
7,0.001,8,0.5485655557186574
7,0.001,9,0.5485536883401014
7,0.001,10,0.5485441732119342
7,0.001,15,0.5485444119336105
7,0.001,20,0.548505300497091
7,0.001,25,0.5485214752183223
7,0.001,30,0.548513941692389
7,0.001,35,0.5484847881504733
7,0.001,40,0.5484953324063184
7,0.001,45,0.5485056934218602
7,0.001,50,0.548493927217315
7,0.001,60,0.548489070359079
7,0.001,70,0.548489070359079
7,0.001,80,0.548489070359079
7,0.001,90,0.548489070359079
7,0.001,100,0.548489070359079
7,0.001,110,0.548489070359079
7,0.001,120,0.548489070359079
7,0.001,130,0.548489070359079
7,0.001,140,0.548489070359079
8,0.001,1,0.5485383458994114
8,0.001,2,0.548528976706777
8,0.001,3,0.548522573802162
8,0.001,4,0.5484989519138606
